gsymb	XX_over_XY_log2FC	q_value
TMEM61	2.5075	1
HSPA6	2.86967	1
-	2.16969	0.00340977
PPAPDC1A	3.06591	1
CAT	2.96803	1
GPRC5A	2.11096	0.000867966
GLT1D1	4.44645	0.000867966
FZD10	2.25648	1
SLC5A8	2.22695	1
TMEM132D	3.42036	1
ARHGDIG	2.49945	1
PRSS22	2.13691	1
GRIN2C	2.12252	1
ZNF575	2.13399	1
QPCT	4.83626	1
C21orf90	2.63705	1
ZNF732	2.93927	1
LINC00616	2.32669	1
ASB5	2.44965	1
SLED1	2.72471	1
RELL2	2.15764	1
HCG26	2.19111	1
KHDC3L	2.0933	0.000867966
-	2.62344	0.00340977
HIST1H3I	2.7795	1
SLC22A2	2.0603	1
-	2.07671	0.00340977
-	2.80264	0.00340977
OR1K1	2.43708	0.000867966
XIST	5.07754	0.00222893
